"hhid","h04_sex","h13_did_work","h14_cls_wkr","hgc"
"2856200000000052562",1,1,3,"Grade 1 to Grade 6/7"
"2856300000000052563",1,1,3,"No Grade Completed"
"2856400000000052564",1,1,3,"Grade 1 to Grade 6/7"
"2856500000000052565",1,1,3,"Grade 1 to Grade 6/7"
"2856600000000052566",1,1,3,"Grade 1 to Grade 6/7"
"2856800000000052568",1,1,3,"Grade 1 to Grade 6/7"
"2857000000000052570",1,1,3,"Grade 1 to Grade 6/7"
"2857100000000052571",1,1,3,"Grade 1 to Grade 6/7"
"2857200000000052572",1,1,3,"Grade 1 to Grade 6/7"
"2857300000000052573",1,1,3,"Grade 1 to Grade 6/7"
"2857400000000052574",1,1,3,"Bachelor Level Education Undergrad"
"2857600000000052576",1,1,3,"Grade 1 to Grade 6/7"
"2857700000000052577",1,1,3,"Grade 1 to Grade 6/7"
"2857800000000052578",1,1,3,"No Grade Completed"
"2857900000000052579",1,1,3,"JHS Undergraduate"
"2858000000000052580",1,1,3,"No Grade Completed"
"2858100000000052581",1,1,3,"Grade 1 to Grade 6/7"
"2858200000000052582",1,1,3,"No Grade Completed"
"2858300000000052583",1,1,3,"Bachelor Level Education Undergrad"
"2858400000000052584",1,1,3,"Bachelor Level Education Undergrad"
"2858500000000052585",1,1,3,"Grade 1 to Grade 6/7"
"2858600000000052586",1,1,3,"Grade 1 to Grade 6/7"
"2858700000000052587",1,1,3,"Grade 1 to Grade 6/7"
"2858800000000052588",1,1,3,"Grade 1 to Grade 6/7"
"2858900000000052589",1,1,3,"Grade 1 to Grade 6/7"
"2859200000000052592",1,1,3,"JHS Undergraduate"
"2859300000000052593",1,1,3,"No Grade Completed"
"2859400000000052594",1,1,0,"No Grade Completed"
"2859700000000052597",1,1,3,"No Grade Completed"
"2859800000000052598",1,1,3,"Grade 1 to Grade 6/7"
"2859900000000052599",1,1,3,"Grade 1 to Grade 6/7"
"2860000000000052600",1,1,3,"Grade 1 to Grade 6/7"
"2860100000000052601",1,1,3,"JHS Graduate"
"2860200000000052602",1,1,3,"Grade 1 to Grade 6/7"
"2860300000000052603",1,1,3,"Grade 1 to Grade 6/7"
"2860500000000052605",1,1,3,"Bachelor Level Education Graduate"
"2860600000000052606",1,1,3,"No Grade Completed"
"2860700000000052607",1,1,3,"Grade 1 to Grade 6/7"
"2860900000000052609",1,1,2,"JHS Graduate"
"2861000000000052610",1,1,3,"Bachelor Level Education Undergrad"
"2861100000000052611",1,1,3,"Grade 1 to Grade 6/7"
"2861200000000052612",1,1,3,"JHS Undergraduate"
"2861300000000052613",1,1,3,"No Grade Completed"
"2861400000000052614",1,1,3,"No Grade Completed"
"2861500000000052615",1,1,3,"No Grade Completed"
"2861600000000052616",1,1,3,"Grade 1 to Grade 6/7"
"2861700000000052617",1,1,3,"Grade 1 to Grade 6/7"
"2861800000000052618",1,1,3,"No Grade Completed"
"2861900000000052619",1,1,3,"No Grade Completed"
"2862000000000052620",1,1,3,"No Grade Completed"
"2862100000000052621",1,2,"","No Grade Completed"
"2862200000000052622",1,1,3,"Grade 1 to Grade 6/7"
"2862300000000052623",1,1,3,"Bachelor Level Education Graduate"
"2862400000000052624",1,1,3,"Grade 1 to Grade 6/7"
