REG,HHID,RFACT,FSIZE,CHLD_6_11,CHLD_12_15,CHLD_5_17,PER_18_UP,WRK_HEAD,WRK_18,WRK_5_17,EDUC_6_11,EDUC_12_15,HHMELEM_6_11,HHMHS_12_15,H04_SEX,H05_AGE,H06_STATUS,H08_CUR_ATTEND,H09_CUR_GRADE,H10_YNOT_ATTND,H12_HGC,H13_DID_WORK,H14_CLS_WKR,C16_FAMILL,C20_FAMFIN,URB
14,000118600000000025186,00171.7825,003,0,0,1,1,0,1,0,0,0,00,00,1,28,2,,,,60002,1,1,00,00,2
14,000118700000000025187,00171.7825,006,1,1,1,1,0,1,0,1,1,01,02,1,37,2,,,,24015,1,1,01,01,2
14,000118800000000025188,00171.7825,002,0,0,0,1,1,1,0,0,0,00,00,2,65,1,,,,60003,2,,00,01,2
14,000118900000000025189,00171.7825,003,0,0,0,1,0,1,0,0,0,00,00,1,80,3,,,,60811,2,,00,01,2
14,000119000000000025190,00171.7825,002,0,0,0,1,0,0,0,0,0,00,00,1,85,2,,,,10014,2,,01,00,2
14,000119100000000025191,00171.7825,004,0,1,1,1,1,1,0,0,1,00,01,1,59,2,,,,24015,1,3,00,00,2
14,000119200000000025192,00171.7825,002,0,0,0,1,1,1,0,0,0,00,00,2,66,3,,,,60913,2,,00,01,2
14,000119300000000025193,00171.7825,001,0,0,0,1,0,1,0,0,0,00,00,1,49,4,,,,10014,1,1,00,00,2
14,000119400000000025194,00171.7825,003,0,1,1,1,0,1,0,0,1,00,01,1,34,2,,,,10018,1,3,00,00,2
14,000119500000000025195,00171.7825,004,0,1,1,1,1,1,0,0,1,00,01,1,62,2,,,,40821,1,3,00,00,2
14,000119600000000025196,00171.7825,005,0,0,0,1,0,1,0,0,0,00,00,1,60,2,,,,40821,1,3,00,00,2
14,000119700000000025197,00171.7825,004,1,0,1,1,0,0,0,1,0,01,00,2,29,2,,,,24015,2,,00,00,2
14,000119800000000025198,00184.2236,005,1,0,1,1,0,1,0,1,0,01,00,1,75,2,,,,24015,2,,00,00,2
14,000119900000000025199,00184.2236,005,1,0,1,1,0,1,0,1,0,02,00,1,66,2,,,,24013,1,3,00,01,2
14,000120000000000025200,00184.2236,003,0,0,0,1,0,1,0,0,0,00,00,1,50,2,,,,10018,1,3,00,00,2
14,000120100000000025201,00184.2236,002,0,1,1,1,0,1,0,0,1,00,01,2,45,3,,,,24012,1,3,00,00,2
14,000120200000000025202,00184.2236,002,0,0,0,1,0,1,0,0,0,00,00,1,62,2,,,,10018,1,3,00,00,2
14,000120300000000025203,00184.2236,004,0,0,0,1,1,1,0,0,0,00,00,1,59,2,,,,24015,1,3,00,00,2
14,000120400000000025204,00184.2236,006,1,0,1,1,1,1,0,1,0,01,00,1,44,1,,,,10018,1,3,00,00,2
14,000120500000000025205,00184.2236,004,0,0,1,1,1,1,0,0,0,00,00,2,55,3,,,,10015,1,3,00,00,2
14,000120600000000025206,00184.2236,004,1,0,1,1,1,1,1,1,0,01,00,1,43,2,,,,10013,1,3,00,00,2
14,000120700000000025207,00184.2236,005,1,0,1,1,1,1,0,1,0,01,00,1,60,2,,,,10011,1,3,00,00,2
14,000120800000000025208,00184.2236,004,1,0,1,1,0,1,0,1,0,02,00,1,34,2,,,,24015,1,3,00,01,2
